Topic,Scenario_no,code,Title,PoliticalFrame,Text,Against,Neutral,For
Immigrants,1b,s2_n,The New Family in the Neighborhood,non-political,"A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and help them to feel included. Others, however, are concerned because adding yet another family might overwhelm the community services so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go the extra step to make them feel included.",Interview the family first,Let the family move in,Help the family feel included
Corruption,2a,s3_n,The Repairman,non-political,"The community water pipes are really old and need frequent maintenance repairs. The community has a fixed contract with the utility company for repairs. However, the repairman who is supposed to come has been difficult to get a hold of and some neighbors think he might be doing too much other work elsewhere. Some neighbors want to stop the contract and change the maintenance company. Some are against it since it will be a long process and prefer to discuss it directly with the repairman. Some people want to report him to the utility company to see if maybe the company can find a replacement. ",Discuss with the repairman,Report the repairman to the company,Change the maintenance company
Minority group,6b,s9_n,Repurposing the Community's Hall,non-political,"A room in the community hall is now empty since the shop that was there has moved out from the building. The shop used to pay the rent and that money was allocated for the neighborhood maintenance. Some of your neighbors want to renovate this empty room to a shared community space. Every neighbor can host a community event, so it can strengthen the sense of community. However, some worry that they won't really use that room and prefer to just wait until another shop wants to rent it. Some neighbors prefer to find other ways to use the room.",Wait until another shop rents the room,Find other ways to use the room,Renovate the room to be a shared community space
Vaccination,7b,s11_n,Improving Children Health,non-political,"Some groups of parents are actively discussing how to improve the health of their children. They are thinking of holding a nutrition training for families in the neighborhood. Some consider this as good because it will help the children grow healthy and strong. Some families are against it, however, since they don't believe its effectiveness and prefer to take care of their children themselves. Other neighbors point out that we need to clarify the details of the event before making a decision.",Not organize the event,Discuss details of the event first,Organize the event
Veganism,8b,s13_n,Healthy Meal Cookout,non-political,Some people in the neighborhood propose an idea to use the community fund for buying healthy ready-to-cook ingredients in bulk. Buying in bulk would reduce the cost and make cooking healthy food easier. Some neighbors are against it because it will be difficult to organize and prefer the money to be allocated to something else. Some neighbors want to discuss other options to make cooking healthy easier.,Not use the fund to buy the ingredients in bulk,Discuss other options to make cooking healthy easier,Use the fund to buy ingredients in bulk
Immigrants,1b,s2_p,The New Family in the Neighborhood,political,"A new family wants to move into one of the houses in the neighborhood. Some neighbors are saying that it's good to have new members in the community and help them to feel included. Others, however, are concerned because the family are immigrants with different cultural backgrounds and lifestyles from most of the residents so they suggest interviewing the family before allowing them to move in. Some say that we can let them move in but not go he extra step to make them feel included.",Interview the family first,Let the family move in,Help the family feel included
Corruption,2a,s3_p,The Repairman,political,"The community water pipes are really old and need frequent maintenance repairs. The community has a fixed contract with the utility company for repairs. Lately, the repairman was difficult to get a hold of and some neighbors think he wants a bribe to come quicker to your community instead of doing other work elsewhere. Some neighbors want to stop the contract and change the maintenance company. Some are against it since it will be a long process and prefer to discuss it directly with the repairman. Some people want to report him to the utility company hoping that maybe the company can find a replacement.",Discuss with the repairman,Report the repairman to the company,Change the maintenance company
Minority group,6b,s9_p,Repurposing the Community's Hall,political,"A room in the community hall is now empty since the shop that was there has moved out from the building. The shop used to pay the rent and that money was allocated for the neighborhood maintenance. Some of your neighbors from a particular religious group want to renovate this empty room to a shared community space. Every neighbor can host a community event, so it can strengthen the sense of community. However, some worry that they won't really use that room and prefer to just wait until another shop wants to rent it. Some neighbors prefer to find other ways to use the room.",Wait until another shop rents the room,Find other ways to use the room,Renovate the room to be a shared community space
Vaccination,7b,s11_p,Improving Children Health,political,"Some groups of parents are actively discussing how to improve the health of their children. They are thinking of holding a vaccination event for families in the neighborhood. Some consider this as good because it will help the children grow healthy and strong. Some families are against it, however, since they don't believe its effectiveness and prefer to take care of their children themselves. Other neighbors point out that we need to clarify the details of the event before making a decision.",Not organize the event,Discuss details of the event first,Organize the event
Veganism,8b,s13_p,Healthy Meal Cookout,political,Vegan community in the neighborhood propose an idea to use the community fund for buying healthy ready-to-cook ingredients in bulk. Buying in bulk would reduce the cost and make cooking healthy food easier. Some neighbors are against it because it will be difficult to organize and prefer the money to be allocated to something else. Some neighbors want to discuss other options to make cooking healthy easier.,Not use the fund to buy the ingredients in bulk,Discuss other options to make cooking healthy easier,Use the fund to buy ingredients in bulk
